anciennete_jours,montant,heure,nouveau_beneficiaire,solde_avant,nb_virements_1h,changement_mdp,minutes_depuis_chg_mdp,localisation,nb_virements_vers_benef,fraude
846,188799,17,1,980184,0,0,41351,0,8,0
22,830736,16,1,2790891,13,1,51,1,5,1
640,49044,9,0,2805231,0,0,13968,0,16,0
3,1691343,12,0,3828811,10,0,7956,0,8,1
1700,56908,21,1,93091,0,0,46421,0,10,0
1047,15042,15,1,1952622,0,0,43411,0,12,0
563,17552,9,1,2003527,1,0,44168,1,2,0
211,111133,16,1,250318,1,0,45471,0,9,0
852,55099,22,0,1208677,1,0,28995,1,15,0
1281,1643,16,0,1774793,0,0,34376,1,16,0
13,1419082,13,0,1634558,11,1,40,1,9,1
80,1959936,12,0,3799966,8,0,4054,1,7,1
1034,127650,21,1,1402039,2,0,37199,0,8,0
26,1733483,3,1,4684742,9,0,971,0,8,1
1076,123144,16,1,2276439,0,0,14009,0,19,0
1358,93194,21,0,345031,1,0,7173,0,14,0
1160,25099,16,1,727256,2,0,21899,0,8,0
24,1211916,3,0,2771098,7,1,11,1,15,1
514,131972,3,1,1158307,2,0,19258,1,20,0
79,1686047,15,1,2270787,6,1,48,1,0,1
30,916601,8,0,1431692,14,1,17,0,13,1
807,102298,18,1,879026,1,0,41755,1,4,0
36,1298177,2,1,3765239,11,1,31,1,17,1
1453,16698,5,0,2145528,1,0,38591,0,2,0
47,1646188,4,1,2800280,13,1,9,0,0,1
1,576544,14,0,2901095,8,0,2019,0,1,1
50,1193976,7,0,2683079,12,0,732,0,3,1
57,1573842,15,0,3135909,15,0,1129,1,8,1
69,1844463,23,1,4588848,5,0,4129,1,20,1
2,1122791,14,0,2610598,13,1,0,0,10,1
555,158106,21,0,1546420,1,0,30978,0,7,0
10,1282827,20,1,2722310,6,1,49,0,18,1
1676,59089,17,1,1220916,1,0,32286,0,1,0
39,795763,12,0,948220,5,1,25,1,19,1
44,1425011,3,0,2145268,6,0,3125,0,16,1
62,907016,7,0,1193889,14,1,11,1,2,1
648,57989,9,0,2295306,1,0,38137,1,18,0
673,80918,7,0,418309,1,0,27604,0,1,0
732,131878,4,1,770318,2,0,34945,0,20,0
828,45054,15,1,2983356,0,0,48679,0,20,0
412,183197,11,0,908812,0,0,37291,1,7,0
1909,155002,23,0,558082,2,0,20648,0,5,0
1311,110907,21,0,1388182,2,0,21950,1,9,0
60,361659,23,0,2436899,6,0,4443,1,2,1
56,1497925,8,0,1852824,15,1,5,1,6,1
95,1883551,18,0,3591835,9,0,3907,1,8,1
596,150221,8,1,182815,1,0,2110,1,18,0
1166,199921,8,1,2302081,2,0,16289,0,13,0
47,1223462,18,1,2365473,13,1,22,0,4,1
14,441957,16,0,2453466,8,0,735,1,15,1
919,49416,13,0,535427,2,0,23298,0,9,0
1847,67306,22,1,1397289,2,0,43005,1,20,0
1513,18103,2,1,591735,0,0,21754,1,18,0
1881,62159,5,0,1276277,1,0,15805,1,6,0
93,663297,3,1,890556,8,0,6114,0,13,1
85,991403,8,1,3130912,7,1,52,0,5,1
1030,17602,9,1,2016540,0,0,27869,0,14,0
52,363411,13,0,1475965,9,1,40,1,4,1
231,122253,9,1,726455,2,0,24377,1,20,0
1291,130127,20,0,1998268,2,0,19205,0,6,0
1543,44359,18,1,1787032,2,0,29536,0,20,0
45,745370,0,1,3297470,14,0,2656,0,14,1
1635,134575,11,1,592686,1,0,14955,1,6,0
1611,46536,14,1,459904,0,0,37922,0,0,0
93,1127323,19,0,3651052,15,0,7788,1,4,1
1902,45986,14,0,1170513,0,0,21543,1,7,0
1326,30797,21,0,802899,1,0,24240,1,12,0
35,1213304,12,1,2793313,10,0,6538,0,13,1
99,947846,19,1,3756062,6,0,8758,0,11,1
5,632569,1,1,1609683,15,0,7432,1,18,1
37,541092,18,1,3034475,10,1,23,0,4,1
1905,62008,15,1,173077,2,0,6474,0,5,0
20,717823,22,0,3479030,11,0,6446,0,7,1
15,1741210,2,1,3223050,9,0,2066,0,15,1
1217,26300,16,0,146580,2,0,49392,1,3,0
833,177279,14,0,2994807,0,0,39542,1,2,0
946,133506,5,1,730427,2,0,33733,1,12,0
1452,139850,21,0,3002218,1,0,13563,1,0,0
6,989842,6,0,1541319,8,0,4610,0,11,1
1912,100273,3,0,187747,0,0,31075,1,10,0
75,1336547,19,0,1968493,15,1,8,0,10,1
66,1139673,15,1,3725550,10,1,30,1,0,1
1075,97649,6,1,1357583,2,0,5582,1,9,0
11,939551,22,1,2046680,12,1,26,1,9,1
1918,179274,19,1,2269079,0,0,42528,0,17,0
78,1704098,2,1,3700626,10,0,1580,1,1,1
21,414725,16,1,2583951,8,1,52,1,13,1
1219,34326,2,1,1241056,0,0,41675,0,9,0
942,189362,1,1,454078,0,0,5510,0,5,0
428,138163,4,1,2619256,2,0,22770,0,7,0
14,892150,4,0,3842689,11,1,21,0,1,1
6,1448779,4,1,2289611,12,0,6708,0,10,1
327,112315,9,1,2766431,0,0,30035,1,20,0
1370,150181,2,1,1707057,0,0,27891,0,8,0
942,9585,22,1,1656011,2,0,43252,0,17,0
24,1532097,6,0,2498434,15,1,7,0,13,1
398,173988,7,0,2693580,1,0,45075,0,17,0
7,878882,5,1,2069655,15,0,277,1,2,1
1964,54711,15,1,375869,0,0,5036,0,1,0
7,1019726,11,1,1690230,6,1,36,1,11,1
20,593115,14,1,3523070,7,1,14,1,8,1
39,1343992,22,0,2445248,13,0,2572,0,13,1
1862,69670,13,0,1410384,1,0,17859,0,5,0
448,84777,2,0,1910561,1,0,27263,1,5,0
1087,183009,19,0,276730,2,0,12426,1,17,0
493,84024,8,1,295382,0,0,36344,0,5,0
22,953448,15,1,3443602,6,0,4203,1,13,1
96,1730768,10,0,3369483,6,0,8016,1,2,1
1422,65277,6,1,2249370,1,0,6378,1,20,0
1002,186619,21,0,845559,1,0,7714,1,5,0
1051,151962,7,0,2979676,2,0,42260,0,3,0
886,14105,11,1,371169,0,0,2313,1,5,0
64,1549876,20,1,1729052,12,0,829,0,4,1
1120,33237,15,1,540546,0,0,48028,0,15,0
1582,131757,14,0,1334893,0,0,20724,0,17,0
1937,70661,7,1,329007,1,0,40368,0,12,0
936,102815,8,1,2166074,0,0,26552,1,11,0
1069,167025,18,0,2078912,0,0,32173,1,12,0
85,1682747,17,1,4395415,15,1,59,0,3,1
90,1726303,4,1,3420867,5,1,7,0,12,1
77,809484,3,0,1256204,13,0,3762,1,2,1
4,993986,11,1,1167485,11,0,5432,0,4,1
749,10283,9,1,1015250,0,0,34399,1,7,0
484,133767,0,1,816532,0,0,2711,0,5,0
1637,168263,4,1,1953671,0,0,41329,0,18,0
1014,54315,15,0,2832844,2,0,30163,1,19,0
28,1523223,5,1,4287565,14,1,52,1,17,1
1816,71892,15,1,1948337,0,0,8498,1,6,0
59,1786717,5,0,1878639,7,1,33,0,11,1
846,17877,17,0,602841,1,0,6763,0,14,0
14,427637,0,0,3128159,9,1,24,0,11,1
53,1804299,16,0,3196394,11,0,4205,1,6,1
896,158826,23,0,865468,0,0,47092,1,3,0
1173,164732,11,1,1227588,0,0,30616,0,4,0
77,1513917,1,0,4478473,6,0,6069,0,3,1
78,1595707,3,1,4549961,8,1,12,0,0,1
85,1475027,11,1,1602110,15,1,56,1,0,1
1622,93120,6,0,485012,0,0,26992,0,18,0
490,5183,7,1,2735554,0,0,35857,1,18,0
16,1874937,5,0,4193559,5,1,59,1,8,1
60,1444118,11,0,4437611,8,0,8955,0,14,1
548,149450,4,1,926120,0,0,40778,0,18,0
44,1903644,0,1,2912316,13,1,12,0,7,1
309,42614,1,1,588663,0,0,39484,0,4,0
655,4846,16,0,2762249,0,0,33746,1,16,0
12,468908,13,0,3452892,10,1,11,0,6,1
77,1706418,21,0,4354408,8,0,5379,1,12,1
13,1961768,15,1,4012031,8,1,15,0,11,1
1627,197536,8,0,2156045,0,0,9253,0,20,0
26,1684073,8,0,4612397,14,0,617,0,10,1
764,168972,21,1,1114208,1,0,16071,1,10,0
63,1157003,1,1,3707423,12,1,0,0,20,1
87,826723,1,1,1542907,8,1,0,1,18,1
51,1816072,23,1,3347823,8,1,25,0,19,1
98,818160,3,0,1235251,8,0,1816,0,9,1
1523,100225,15,0,410331,1,0,16506,1,19,0
85,1573865,19,0,4012120,9,0,7819,1,1,1
775,44561,0,1,1403080,0,0,15090,0,11,0
28,491476,21,0,3253941,8,0,7176,0,1,1
784,194706,0,0,1923734,0,0,34610,1,20,0
15,1431456,4,0,3657954,8,0,3021,1,15,1
44,738901,16,1,1912937,12,0,1437,1,6,1
1391,191531,1,1,851466,1,0,44759,0,4,0
1794,181551,4,1,2891217,1,0,36067,0,12,0
909,86199,7,0,2298764,1,0,13532,0,0,0
97,886056,0,1,1604414,5,0,1293,1,14,1
95,1123082,10,0,3399379,8,0,7551,0,12,1
67,744362,22,1,3001358,11,0,5086,0,13,1
1545,118184,1,1,1287380,2,0,36308,1,10,0
60,1723330,9,1,2865341,13,1,35,1,19,1
55,685664,19,0,885788,13,1,19,1,14,1
1692,152894,17,1,2026423,0,0,30670,1,6,0
1179,51124,10,1,2201290,2,0,2727,1,7,0
1013,134417,15,1,1914932,2,0,40939,0,13,0
1849,19884,3,1,490907,2,0,45576,0,17,0
56,1551507,18,0,3173169,7,0,1895,1,0,1
37,1032859,14,1,1169385,11,0,1540,1,5,1
1360,89445,19,1,491922,2,0,34349,0,10,0
1428,7767,8,1,748102,0,0,34718,0,1,0
92,653453,6,1,3077751,13,0,9701,0,19,1
392,9329,16,0,2716827,2,0,43958,1,15,0
8,912577,9,1,3888364,9,1,13,0,13,1
67,1914094,10,1,3506332,11,0,1659,0,0,1
1493,61834,5,0,662402,2,0,13425,0,13,0
920,137296,14,0,2272686,2,0,25375,0,16,0
23,1229363,6,0,1679466,6,0,8906,0,2,1
1630,23912,13,1,569429,2,0,16146,0,1,0
51,1056610,22,1,2043452,9,1,16,0,2,1
63,864271,8,0,2128381,7,0,5589,0,14,1
93,1213380,8,1,3358882,13,0,6071,0,13,1
75,525824,1,0,3392049,10,0,6746,0,6,1
487,33200,23,1,2464048,1,0,36782,0,0,0
68,1064115,7,0,3620988,11,0,2417,0,1,1
53,1996136,2,1,2856903,5,1,26,0,12,1
12,854934,15,1,1733710,5,0,4647,1,17,1
572,187587,23,0,3013446,1,0,35707,1,13,0
88,792655,18,1,3075505,6,0,7741,1,3,1
468,194050,9,1,2254935,0,0,17412,1,3,0
90,1502600,18,1,2108984,13,0,6249,1,20,1
47,551081,22,0,2438658,14,1,44,1,18,1
61,1877390,15,0,2451954,15,1,15,1,17,1
89,751452,6,1,1296842,9,0,5589,0,18,1
837,1486,5,1,1520349,1,0,6647,1,14,0
1949,71770,22,0,1056646,0,0,6340,0,0,0
54,654096,17,0,3287472,14,0,1421,1,11,1
48,1941163,10,0,2070849,13,1,46,1,19,1
1714,10783,3,1,816837,1,0,4814,0,5,0
638,68301,8,1,2088245,1,0,27964,0,7,0
81,975160,20,0,1748062,10,0,7229,1,4,1
3,1796470,1,1,4361142,6,1,18,1,12,1
21,326361,17,1,2853043,5,0,4567,1,11,1
78,1063438,9,1,3417531,8,0,8767,0,8,1
50,916825,1,1,3725688,10,0,6397,0,4,1
88,1299591,17,1,2313062,6,0,1975,1,19,1
54,1853829,2,0,4486804,10,0,2670,0,20,1
1496,119919,8,1,1364804,2,0,31869,1,4,0
1410,160350,3,1,1177343,0,0,12327,0,8,0
369,70472,21,1,427557,1,0,2237,0,11,0
1571,187905,21,1,2986770,1,0,22776,1,15,0
1114,184044,0,0,2243261,0,0,13902,0,20,0
53,813011,22,1,2565311,15,0,166,0,7,1
77,1891612,15,1,4800572,10,1,12,0,3,1
19,855607,13,1,2169985,12,1,28,0,1,1
894,148943,6,1,1019695,0,0,22887,0,18,0
1985,109002,21,1,2312491,0,0,10162,0,1,0
5,1758056,10,0,2168850,5,1,5,1,2,1
537,193319,16,1,2019327,0,0,25833,0,17,0
1259,85705,7,0,1196583,1,0,18873,0,14,0
1690,180952,9,0,2922971,1,0,28705,1,8,0
947,24584,1,1,1437240,2,0,34186,1,13,0
86,656958,1,0,1810523,14,1,11,0,1,1
57,1785237,1,1,2036248,12,0,8602,0,2,1
480,86008,17,1,2238129,1,0,5298,0,16,0
95,1813258,6,1,2371928,15,0,3121,0,5,1
1325,60968,1,1,942748,1,0,17603,1,11,0
1675,50066,6,1,1043273,0,0,45396,1,18,0
578,180944,1,1,1854248,1,0,30540,0,5,0
968,177605,3,1,1650890,0,0,17582,0,13,0
79,655658,11,1,1817909,13,1,51,0,3,1
13,848970,9,0,3363226,8,0,6055,1,9,1
812,24989,20,0,1517271,0,0,26039,1,15,0
65,837577,2,0,1063673,7,0,3255,1,17,1
52,761871,3,0,3423001,12,0,7642,1,14,1
994,154217,1,0,3030162,1,0,49947,0,9,0
15,1000768,5,0,2700711,6,1,41,1,7,1
83,1084519,2,1,3712548,7,0,8802,0,13,1
68,629338,12,1,1476716,12,0,1263,0,18,1
1412,61442,7,0,2043881,2,0,38093,1,18,0
1773,71420,22,0,366396,0,0,25911,1,4,0
87,1349695,20,0,4349465,10,1,45,1,11,1
14,1253928,16,0,2486193,5,1,30,1,2,1
340,181227,8,0,1451949,2,0,4575,0,1,0
26,1279244,23,1,4073836,15,0,9053,1,11,1
55,1865005,23,1,3772569,11,1,13,1,13,1
13,1792159,18,1,3251446,10,1,15,0,14,1
1743,98750,23,1,1555524,1,0,26160,1,4,0
58,389378,3,1,2246651,10,1,13,0,10,1
1935,91719,16,0,655627,2,0,38527,0,12,0
207,189111,8,0,2926104,1,0,13166,0,4,0
235,55017,6,0,577959,1,0,24938,1,11,0
66,905971,6,1,3348184,8,0,6451,0,17,1
422,170380,9,0,1379599,1,0,39095,0,13,0
1489,171418,16,1,609618,1,0,29467,0,14,0
1113,26747,1,1,1188780,0,0,16248,1,2,0
1803,16317,18,1,2123269,1,0,34962,1,9,0
5,1946729,9,0,3161223,6,0,340,0,15,1
1160,38905,23,0,1644992,0,0,49594,1,20,0
1637,143420,0,1,955896,1,0,22863,1,18,0
15,1949897,23,0,4612393,14,0,1317,0,5,1
617,60825,21,0,321179,1,0,22839,0,4,0
471,134669,18,1,270264,2,0,20528,1,1,0
1411,44715,13,1,2743242,1,0,46264,1,20,0
73,1378294,14,1,2288153,11,1,23,1,12,1
61,644691,0,1,2656638,9,1,6,0,9,1
17,1057818,0,1,1822251,5,0,3693,1,5,1
56,1595449,10,0,1859742,13,1,15,1,2,1
1539,74387,7,0,2610256,2,0,8832,1,11,0
898,65045,15,1,618106,1,0,23527,0,13,0
91,400787,13,1,1880078,12,0,6563,0,12,1
25,1409482,18,0,2296462,8,1,59,0,11,1
51,1636570,22,1,4208370,9,0,7778,0,11,1
1684,6834,5,0,603241,0,0,22133,0,13,0
15,1749645,23,0,4128299,9,1,26,1,16,1
59,587892,9,0,3568968,8,0,6749,1,10,1
1201,105965,23,1,430681,1,0,49115,1,3,0
6,1075191,15,0,1171875,13,1,26,1,13,1
1636,97893,15,0,2980250,0,0,46567,1,8,0
1987,14821,3,1,1389542,2,0,15291,0,20,0
1947,97085,2,1,1505570,0,0,4822,0,17,0
1313,133458,15,0,1396618,0,0,33777,0,17,0
1428,148779,18,0,2200509,0,0,30626,0,11,0
62,455916,21,0,3275841,12,0,5860,0,2,1
41,1127768,10,1,2291661,12,0,5777,0,0,1
25,1167968,22,0,3102712,12,1,13,1,1,1
72,1563536,21,1,2911087,6,0,2610,1,19,1
1594,1552,15,1,536253,1,0,13154,1,9,0
90,603858,3,0,661880,7,1,59,0,11,1
82,1549987,10,0,4442414,11,0,294,1,4,1
667,96511,4,0,140146,0,0,11836,0,14,0
1399,171588,23,0,2583373,0,0,25161,0,12,0
5,528555,1,0,2874454,9,0,6285,0,20,1
79,366846,2,1,1190704,10,0,5870,1,19,1
885,161882,11,0,2217687,0,0,23535,0,0,0
99,1914397,19,1,3925196,5,0,5818,1,8,1
1205,111310,0,0,1019833,2,0,1046,0,4,0
100,587534,14,0,2390901,10,1,0,1,14,1
441,191103,21,1,2280856,1,0,3180,0,6,0
26,1683164,4,0,3510201,9,0,152,1,3,1
65,735582,11,1,2128685,15,1,42,1,16,1
41,1129102,14,0,3807115,15,1,32,1,0,1
1495,122416,15,0,1201572,0,0,37040,0,10,0
213,103793,0,1,2028084,2,0,22571,1,3,0
55,562326,5,1,2901650,13,1,22,1,12,1
39,465050,8,1,3352810,10,0,8793,1,1,1
976,58446,22,1,141806,1,0,20452,1,2,0
703,17068,2,1,638125,1,0,18989,0,1,0
1328,170569,13,1,209256,0,0,20568,1,7,0
61,1246627,4,1,4047640,15,0,461,0,0,1
91,1330715,14,1,3133137,11,0,3367,0,9,1
23,743218,17,1,2475243,8,1,55,1,4,1
29,370030,7,0,2738461,14,0,4002,1,1,1
78,302904,2,0,1614037,11,0,8111,0,4,1
89,1092206,10,0,1452112,15,0,4079,0,19,1
1546,115584,5,1,376099,1,0,38409,0,8,0
61,1214375,5,0,1503099,5,1,26,1,1,1
1789,149291,23,1,1365145,0,0,49997,1,0,0
45,654938,10,1,759200,10,0,3317,1,0,1
1179,49920,9,0,1875271,2,0,27294,1,5,0
1586,108383,23,0,610439,1,0,6942,1,6,0
732,183463,15,0,2119795,1,0,7998,1,15,0
3,1912716,23,1,1937527,10,0,5592,1,18,1
1149,123870,2,1,1234880,1,0,13214,1,11,0
213,15980,3,1,1364820,0,0,41196,1,20,0
380,181535,12,1,1018893,1,0,29284,0,8,0
1962,71591,4,0,2118757,2,0,19643,1,19,0
780,121049,5,0,2635761,0,0,9405,1,6,0
1992,89209,16,0,2483098,0,0,6539,0,4,0
35,1519444,16,0,2958321,11,0,4628,1,9,1
626,116385,18,1,1509166,2,0,9428,1,17,0
7,860864,2,1,3686815,7,1,9,0,11,1
1535,45183,7,0,2752731,1,0,28630,1,4,0
24,1396916,0,1,4108392,9,1,40,1,8,1
865,105427,21,0,2907361,1,0,30501,0,11,0
325,14930,21,0,2276168,0,0,5202,0,2,0
84,1826027,16,0,2452058,10,1,48,1,13,1
89,1875578,4,0,4425393,12,0,4810,0,17,1
1561,153800,21,1,3033856,2,0,33707,1,19,0
89,1724311,16,0,2186120,5,1,23,0,12,1
955,29139,11,0,1087814,1,0,9336,0,7,0
71,861973,4,0,3473201,9,1,49,0,10,1
1643,179819,8,0,1936659,2,0,24602,1,11,0
1591,168332,12,0,309414,0,0,48361,0,12,0
811,6058,22,0,2471943,0,0,33106,0,6,0
81,1199638,23,0,1918642,15,0,3100,0,15,1
1145,142477,4,0,656551,0,0,19455,0,13,0
943,94137,18,0,2760215,2,0,6811,1,6,0
1992,170027,17,1,2550692,2,0,37102,1,12,0
1975,60489,5,1,970256,0,0,32878,1,19,0
91,1696857,20,1,4530499,7,0,4659,0,17,1
1046,154027,16,1,1301597,2,0,6925,0,12,0
10,970091,0,1,1082102,15,1,12,0,16,1
43,979919,9,1,2456458,5,0,9803,0,13,1
1923,8770,1,1,2566935,2,0,13083,0,16,0
352,121308,16,1,2452675,2,0,40030,1,16,0
1506,99057,21,1,2825564,0,0,34662,1,4,0
1747,39003,18,0,2110023,0,0,40247,1,6,0
458,161643,17,0,2862937,0,0,38528,1,9,0
1354,60276,2,0,2151575,2,0,27696,0,10,0
832,82832,11,1,2605973,1,0,27989,1,8,0
832,95926,7,1,1734587,2,0,42648,0,10,0
1,1640455,20,1,3870300,9,0,1258,1,11,1
387,97899,1,0,1415683,1,0,45542,0,9,0
450,61608,0,1,2015300,2,0,34092,1,14,0
91,1477820,20,1,1511489,6,1,19,0,16,1
1489,97038,11,1,1504512,0,0,48016,0,1,0
667,62253,10,0,2450391,1,0,46264,0,15,0
17,1503569,4,0,3733055,10,1,25,1,19,1
1816,8597,21,0,1930092,1,0,31843,0,12,0
37,1436214,18,1,2182668,8,0,9707,0,0,1
59,1127896,1,1,3997869,9,0,5143,0,17,1
1084,42361,16,0,2401630,0,0,27025,0,14,0
519,181141,3,0,2544169,2,0,34764,0,16,0
74,1865984,18,0,4846072,5,0,4206,0,18,1
323,88649,19,0,878069,0,0,32635,1,12,0
29,633085,8,1,2934073,6,0,1212,1,6,1
53,1324189,7,1,2777148,9,0,2956,0,10,1
654,22141,20,1,1666035,0,0,37988,1,14,0
46,1895191,20,1,3028872,7,0,8043,0,0,1
3,1187712,11,1,3051368,8,1,15,0,12,1
584,125203,13,0,959415,1,0,47693,0,3,0
1226,11842,4,0,1160324,2,0,36288,0,16,0
925,31329,7,0,2258681,0,0,2568,1,6,0
904,169894,11,0,1714279,0,0,32851,0,15,0
1728,119350,13,1,2403305,0,0,33122,1,17,0
9,810709,17,0,3491865,10,1,13,0,16,1
48,1577681,19,1,2729936,9,1,44,1,13,1
10,1224816,18,0,2409005,14,0,6102,0,11,1
20,489663,11,0,2983626,5,0,2273,1,5,1
40,1699803,15,0,1935413,7,1,52,0,1,1
44,560150,20,0,1546985,6,0,1703,0,13,1
795,9886,5,0,1773455,0,0,35520,1,13,0
1797,37737,17,0,478602,0,0,29428,0,2,0
17,857899,19,0,1559724,11,0,6394,0,6,1
37,1019938,5,0,1373879,7,1,40,0,20,1
50,790253,0,0,3776153,14,1,2,1,9,1
36,1082569,5,0,3421257,10,1,9,1,16,1
53,476503,14,1,2129607,10,1,60,1,11,1
81,962033,19,0,3826329,12,0,1266,1,17,1
67,1552490,19,0,2655960,6,0,1745,1,18,1
69,1022809,2,1,1568582,7,1,40,1,12,1
696,136167,9,1,1805734,0,0,47963,1,18,0
88,1883224,22,1,3432848,15,1,21,0,0,1
47,1275047,5,0,2504309,5,0,3108,0,15,1
1398,32618,1,0,1668165,0,0,18958,1,11,0
1696,17208,4,1,581630,1,0,32351,1,1,0
680,95508,9,0,156678,0,0,28361,1,11,0
920,9372,9,0,1769622,2,0,29537,1,11,0
14,1884468,4,1,4763186,9,0,4046,0,15,1
1,873328,14,1,916620,9,0,1684,0,20,1
567,149132,16,0,1934259,0,0,46084,0,10,0
12,966939,20,0,1739370,8,1,41,0,2,1
77,983798,20,1,2593583,6,0,7999,1,8,1
96,1638701,9,1,1856966,9,0,9490,1,3,1
97,1363444,4,1,3732667,10,1,55,1,5,1
322,127177,16,1,2649003,0,0,8843,1,13,0
2,1598812,10,1,4169025,9,1,56,1,14,1
5,464725,0,0,2444725,12,0,7275,0,11,1
78,1909749,5,0,2260281,8,0,6557,0,20,1
1282,129490,6,1,970034,1,0,2058,0,15,0
1809,92080,7,0,826868,0,0,29234,1,19,0
375,115387,13,1,1879060,1,0,39360,0,10,0
240,145643,16,0,2447428,0,0,22427,0,6,0
1505,179601,1,0,1719678,1,0,33482,0,17,0
68,1914488,0,1,4573863,13,0,7078,0,16,1
906,13718,16,0,1691858,1,0,28970,1,9,0
15,1975034,10,1,2557207,12,0,4399,1,11,1
235,56597,18,0,2685310,1,0,37433,1,3,0
42,492765,15,0,1547991,6,0,1925,0,6,1
504,124047,5,1,1712236,0,0,29188,1,17,0
1962,155850,23,1,729110,1,0,32268,1,13,0
21,1784626,15,1,4646732,11,1,6,1,5,1
848,92665,17,0,2028521,0,0,21592,0,4,0
344,137303,8,0,996838,0,0,19202,1,5,0
1062,54095,10,0,1228572,1,0,33274,1,4,0
742,13905,19,1,922242,0,0,13223,1,4,0
1328,138331,15,0,284825,0,0,23842,0,7,0
303,162391,12,0,2826051,1,0,30287,1,4,0
1993,65255,22,1,183702,0,0,37389,0,12,0
828,177014,13,1,2448940,2,0,13717,0,16,0
27,807455,11,1,1628744,12,0,7604,0,2,1
278,79769,2,0,1525108,1,0,33224,0,20,0
1957,77978,6,0,849006,2,0,21606,0,3,0
47,993521,1,1,1519661,6,0,3517,1,19,1
865,175419,19,1,1878932,1,0,36084,1,19,0
6,430510,21,1,3248652,8,1,49,1,14,1
12,1418146,7,0,3878747,9,1,22,1,10,1
69,1437525,0,0,3225661,6,0,3429,0,5,1
200,136423,0,0,563563,0,0,16942,0,4,0
77,1295464,17,0,2636972,14,1,45,1,2,1
63,1286238,7,0,3360392,10,1,42,0,8,1
1625,19440,2,1,1772178,2,0,29946,0,19,0
279,97715,7,1,967155,1,0,42102,1,12,0
1608,137545,2,1,612026,1,0,40446,0,4,0
1953,48816,5,1,1891213,2,0,31675,0,17,0
514,96680,18,0,2739355,2,0,42502,0,4,0
14,1546870,21,1,2663585,7,1,45,1,15,1
100,1556685,3,1,3972107,13,0,8518,1,19,1
1904,54119,14,0,1264867,2,0,40512,0,8,0
1763,62631,22,1,2363744,2,0,32679,1,5,0
5,1707227,13,1,4057542,8,0,4667,0,16,1
72,880241,9,0,1314361,9,1,23,1,9,1
1151,185105,21,0,294039,0,0,33620,0,19,0
7,1215343,2,0,3291258,6,1,11,1,6,1
1209,25899,0,0,1858546,1,0,42241,0,17,0
79,644715,9,0,3148676,6,1,34,1,8,1
82,879255,19,0,3424073,9,1,23,1,19,1
37,1891985,12,0,3074504,15,0,743,0,9,1
10,617060,1,0,3189853,8,1,32,0,19,1
23,1265612,0,1,2693709,7,1,52,0,0,1
226,119146,7,0,1901830,1,0,12893,1,13,0
91,530384,16,1,3283600,11,0,595,0,5,1
83,719642,1,0,1656833,13,0,8536,0,20,1
25,1501438,20,1,2365873,6,0,1287,0,3,1
36,1737301,1,1,4046032,12,0,2028,1,12,1
1616,23233,10,1,2834590,2,0,34356,1,15,0
1679,46906,4,1,869024,2,0,32398,0,7,0
314,93045,17,0,1336144,1,0,9918,1,15,0
1982,167184,20,1,2328037,0,0,11315,0,5,0
39,906391,12,0,2678447,9,0,559,1,9,1
1219,83502,17,0,1115585,0,0,4359,0,1,0
1128,65520,3,0,2710769,2,0,4460,1,15,0
64,753812,15,1,3043982,7,1,6,0,8,1
1170,175992,8,0,2676458,2,0,31167,1,17,0
45,1370326,13,0,4262703,8,1,30,0,5,1
96,1947115,7,1,4457891,7,1,12,1,7,1
592,26748,12,0,815748,2,0,34470,1,9,0
427,198358,14,1,672645,0,0,32635,0,15,0
321,97203,4,1,580625,0,0,14067,0,16,0
1177,25792,0,0,1460467,1,0,24054,1,10,0
12,1351759,9,1,2046461,14,1,37,1,14,1
1165,142036,10,1,2733043,2,0,36948,0,17,0
44,1505055,19,0,1877645,7,1,35,0,12,1
1880,2284,2,1,830238,2,0,9140,1,15,0
364,142657,11,1,1089106,0,0,10548,1,17,0
1043,143111,9,1,2344027,2,0,18023,1,2,0
851,17236,8,0,2769187,0,0,25462,0,3,0
19,1802443,6,0,2271179,5,0,2959,0,3,1
1040,84882,21,1,2728727,1,0,27504,0,17,0
83,1575747,21,0,3854964,5,0,8816,0,7,1
395,116915,10,1,543216,0,0,18019,1,15,0
1853,97441,15,1,2731774,0,0,39316,0,16,0
1743,56523,3,0,2386056,1,0,47421,0,20,0
7,557551,17,1,2712162,9,1,33,0,5,1
591,52984,11,1,2266232,1,0,43736,0,12,0
1450,87059,19,1,947768,1,0,19830,1,9,0
88,1254944,21,0,2741402,15,0,8186,1,15,1
78,1880911,23,0,4463785,10,1,50,1,14,1
1207,74716,3,0,2996491,2,0,28307,1,18,0
1254,142848,9,0,1491063,2,0,1931,1,7,0
1726,46610,2,1,1172080,1,0,9927,0,12,0
16,832468,22,0,1048537,13,1,30,1,5,1
1503,167879,5,1,3074680,0,0,33492,0,20,0
610,183221,22,0,2923591,2,0,3322,1,16,0
274,74806,20,1,3019385,2,0,18854,1,11,0
68,1757294,15,0,4316310,5,1,5,1,4,1
29,1018552,1,0,2664336,5,0,4245,1,4,1
1014,75330,16,1,1657371,0,0,28281,1,8,0
75,1643712,5,1,2192584,11,0,5497,0,0,1
51,880586,23,0,2834018,12,1,31,0,1,1
42,373029,10,0,2477309,11,0,3373,0,8,1
66,314828,1,0,1300480,7,0,7342,0,3,1
6,1181648,8,0,3486361,11,0,1681,0,1,1
